ID;QUESTION;ANSWER1;ANSWER2;ANSWER3;ANSWER4;CORRECT_ANSWER
1;Która z wymienionych to planeta skalista?;Merkury ;Jowisz ;Uran ;Saturn ;1
2;Skąd w listopadzie 1918 roku wracał do Polski Józef Piłsudski?;z Rosji;z Francji;z Wielkiej Brytanii;z Niemiec;4
3;Co wywołuje kiłę?;pałeczka ;laseczka ;prątek ;krętek ;4
4;Znajdziesz ją na grządce i w kolanie.;rzodkiewkę ;rzepkę ;cebulkę ;kalarepkę ;2
5;Mawiamy, że kto daje i odbiera:;ten uzbiera na chryslera;w banku czeka go kariera;temu pętla i siekiera;ten się w piekle poniewiera;4
6;Zaleszczotki...;leżą na Podolu;żerują w bibliotekach;robi się ze słomy ryżowej;rozczesują kołtuny;2
7;Zgodnie z tradycją na sto dni przed maturą uczniowie tańczą:;mazura;poloneza ;walca;kujawiaka ;2
8;Co mówi diabeł w zapadłej dziurze?;siema ;strzała ;dzień dobry;dobranoc;4
9;Stadionowy instrument piłkarskiego kibica to:;harmonijka ustna;fagot ;okaryna ;wuwuzela ;4
10;Absynt z racji swojego koloru bywa nazywany:;zieloną wróżką;różową czarodziejką;białą wiedźmą;niebieską szeptuchą;1
