ID;QUESTION;ANSWER1;ANSWER2;ANSWER3;ANSWER4;CORRECT_ANSWER
1;Trzech z tych kompozytorów urodziło się w 1685 r, a jeden w 1770. Który?;Georg Friedrich Haendel;Johann Sebastian Bach;Ludwig van Beethoven;Domenico Scarlatti;3
2;Żywo reaguje na komendę daj głos.;pies ;wyborca ;lektor ;śpiewak ;1
3;Trunek dobry na frasunek najprędzej znajdziemy:;w bidonie;w menażce;w probówce;w piersiówce;4
4;Z czego zrobiona jest płyta OSB?;z wiórów drzewnych;z tłucznia ceramicznego;z gruzu budowlanego;z polichlorku winylu;1
5;Teleskop Hubble'a wyniesiono na orbitę okołoziemską w roku, w którym PZPR zakończyła działalność. Ile to lat temu?;57 ;47 ;27 ;7 ;3
6;Która koperta bywa z kruszcu?;zegarka ;kołdry ;listu ;z łapówką;1
7;Ulubiony kolor fanów egzystencjalizmu i egzystencjalistów to:;czarny ;biały ;zielony ;czerwony ;1
8;Jakie kwiaty zwykle zachwaszczają pola pszenicy?;konwalie ;chabry ;tulipany ;nasturcje ;2
9;Za iloma górami i za iloma lasami zaczyna się bajka?;za trzema;za pięcioma;za siedmioma;za dziewięcioma;3
10;Ile aktów ma aktówka?;żadnego ;dwa ;cztery ;sześć ;1
