ID;QUESTION;ANSWER1;ANSWER2;ANSWER3;ANSWER4;CORRECT_ANSWER
1;Gdzie Mieszkał Jan Kochanowski?;W Nagłowicach;W Krakowie;W Czarnolesie;W Warszawie;3
2;Jak nazywa się nauka o Hiszpanii i Portugalii?;Romanistyka;Espanistyka;Latynistyka;Iberystyka;4
3;Kto zastąpił Donalda Trumpa jako prezydenta USA?;Joe Biden;Al Gore;Hillary Clinton;Barrack Obama;1
4;Na którym kontynencie leży państwo Surinam?;Afryka;Ameryka Południowa;Azja;Europa;2
5;Kto jest autorem książki „Rozmowy z Katem”?;Moczarski;Mickiewicz;Słowacki;Norwid;1
6;W którym stuleciu tworzył Salwador Dali?;18;19;20;21;3
7;Które powstanie zorganizował „Spisek Podchorążych”?;Listopadowe;Styczniowe;Warszawskie;Kościuszkowskie;1
8;Ile hektarów ma jeden kilometr kwadratowy?;0,1;1;10;100;4
9;Ile gwiazd jest na naramienniku kapitana wojska Polskiego?;1;2;3;4;4
10;Z których owoców powstaje ocet balsamiczny?;Jabłek;Winogron;Wiśni;Gruszek;2
