ID;QUESTION;ANSWER1;ANSWER2;ANSWER3;ANSWER4;CORRECT_ANSWER
1;Jakuza w jacuzzi, czyli:;mafiosi w wannie;herbata w czarce;wodorosty w zupie;jedwabnik w koronie;1
2;Jan z mansardy zaprosił Stacha z 5. piętra, Rycha z 4., Genia z 3. i Kazia z sutereny. Kto ma do pokonania najwięcej stopni?;Stach ;Rychu ;Genio ;Kazio ;4
3;"Na czym są chowane ""delikatne, rumiane jak chleb"" Słowianki z piosenki Cleo i Donatana?";na swojskiej śmietanie;na skocznych oberkach;na rosole z okami;na klechdach;1
4;Gdzie można napotkać żywą paginę?;w morskich odmętach;w książce;w cyrku;w ściółce leśnej ;2
5;Którego ze środków komunikacji miejskiej nie było w Polsce do 1995 roku?;tramwaju ;metra ;trolejbusu;autobusu miejskiego;2
6;Bieguny magnesu z lekcji fizyki oznaczone są zwykle dwoma kolorami, niebieskim i:;zielonym ;brązowym ;czerwonym ;szarym ;3
7;Czym zabita jest pipidówka?;gwoździami ;nożem ;widłami ;dechami ;4
8;Tak zwany koc przeciwwstrząsowy stosowany w medycynie ratunkowej wykonany jest:;z angory;z tworzywa sztucznego;z jedwabiu;z surowego lnu;2
9;Co szczególnie drogo kosztowało biblijnego Ezawa?;kawałek tofu;czarka soi;miska soczewicy;talerz grochu z kapustą;3
10;"Dokończ słowa piosenki autorstwa Wojciecha Młynarskiego: ""Dziewczyny, bądźcie dla nas dobre...";"w spiekotę lata""";"gdy mróz skuwa""";"na wiosnę""";"w tę słotę""";3
