ID;QUESTION;ANSWER1;ANSWER2;ANSWER3;ANSWER4;CORRECT_ANSWER
1;Które narzędzie to grzebień osadzony na stylisku?;siekiera ;graca ;grabie ;łopata ;3
2;Co nazywane jest najmniejszą cząstką filmu?;boks ;paka ;klatka;karton ;3
3;Bawole serca lub malinowe. Co z nich będzie?;szarlotka ;kartoflak ;dżem śliwkowy;zupa pomidorowa;4
4;Bąkamy:;pod wodą;coś pod nosem;jednym uchem;pod kołdrą ;2
5;Który to pierwszy biblijny denat?;Kain;Abel ;Adam ;Noe ;2
6;Nastawny w narzędziowej skrzynce.;klucz ;łom ;młotek ;przecinak ;1
7;Obiektem astronomicznym jest:;biały lej;czerwona czeluść;niebieska wyrwa;czarna dziura;4
8;Które z państw ma tylko jedną stałą rzekę?;Egipt ;Austria ;Portugalia ;Turcja ;1
9;Niejadowity wąż.;boa ;kobra ;mamba ;grzechotnik ;1
10;Który z kompozytorów tworzył przede wszystkim operetki?;Jan Sebastian Bach;Wilhelm Friedemann Bach;Carl Philipp Emanuel Bach;Jacques Offenbach;4
