ID;QUESTION;ANSWER1;ANSWER2;ANSWER3;ANSWER4;CORRECT_ANSWER
1;Polskim odpowiednikiem amerykańskiego baby shower jest?;Bociankowe;Prysznicowe;500+;Becikowe;1
2;Ćmielów i Chodzież słyną z produkcji?;Samolotów;Leczniczych wód;Wagonów kolejowych;Porcelany;4
3;Szejk pije szejka, czyli co?;Potrójne espresso;Zieloną herbatę;Napój mleczny;Wino gronowe;3
4;Komu w 1917 roku Matka Boska przekazała trzy tajemnice fatimskie?;Skazańcom;Pastuszkom;Żołnierzom;Biskupom;2
5;Jaki ptak ma oczy osadzone frontalnie i otoczone promieniście ułożonymi piórami?;Brzegówka;Dymówka;Płomykówka;Bogatka;4
6;Gwiazdy, które tworzą dyszel Wielkiego Wozu, są jednocześnie:;Ogonem Wielkiej Niedźwiedzicy;Kolcem Skorpiona;Szyją Żyrafy;Łapą Lwa;1
7;Nutrikosmetyki:;Wytwarza się z nutrii;Wklepujemy w twarz;Zażywamy doustnie;Wczesujemy we włosy;3
8;Migotka to:;Prawa komora serca;Trzecia powieka;Mama Muminka;Kierunkowskaz;2
9;Półpasiec to krewny:;Całego paśca;Ospy wietrznej;Czarnej ospy;Żółtej febry;2
10;Co oznacza archaizm „półpięta”?;Cztery i pół;Dwa i pół;Wpół do szóstej;Rodzaj obcasa;1
