ID;QUESTION;ANSWER1;ANSWER2;ANSWER3;ANSWER4;CORRECT_ANSWER
1;Profesor Filutek prowadza się z Filusiem:;"w ""Polityce""";"w ""Przekroju""";"w ""Newsweeku""";"w ""Przeglądzie""";2
2;"Która afera wymagała od naczelnego ""Gazety Wyborczej"" obsługi aż dwóch dyktafonów?";afera gruntowa;afera Olina;afera Rywina;seksafera w Samoobronie;3
3;Wynik którego działania to apokaliptyczna liczba Bestii?;111+222;2x333;666-444;33!;2
4;Chopper to przerobiony:;stary przebój;motocykl ;skórzany płaszcz;moszcz z owoców;2
5;"Jakiego koloru skórę ma większość bohaterów serii kreskówek ""Simpsonowie""?";żółtego ;szarego ;niebieskiego ;różowego ;1
6;Na fladze którego kraju widnieje przyprawa do pasztetu?;Hiszpanii ;Grenady ;Chin ;Szwecji ;2
7;Na klawiaturze QWERTY dioda zapali się, gdy naciśniemy:;backspace ;delete ;alt ;caps lock;4
8;Co zawierała puszka Pandory?;choroby i strapienia;byczki w pomidorach;obole od Charona;kolorowe koraliki;1
9;Artur Andrus śpiewa, że pił w Spale, a spał:;tam, gdzie stał; nie bacząc na szkwał ;w Pile;na hacjendzie w Chile;3
10;Kwiaty z błędem to:;herbaciane róże;modre chabry;żółte narcyze;fiołkowe kosaćce;3
